EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,GEOTRC_EVENTNO,GEOTRC_SAMPNO,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,Sigma0,REFTMP,REFTMP_FLAG_W,BTL_DATE,BTL_TIME,BTL_ISO_DateTime_UTC,BTL_LAT,BTL_LON,SILICATE_D_CONC_BOTTLE_3fot83,Flag_SILICATE_D_CONC_BOTTLE_3fot83,PHOSPHATE_D_CONC_BOTTLE_d0rgav,Flag_PHOSPHATE_D_CONC_BOTTLE_d0rgav,NITRATE_D_CONC_BOTTLE_bugat8,Flag_NITRATE_D_CONC_BOTTLE_bugat8,NITRITE_D_CONC_BOTTLE_sxduhh,Flag_NITRITE_D_CONC_BOTTLE_sxduhh,OXYGEN_D_CONC_BOTTLE_n41f8b,Flag_OXYGEN_D_CONC_BOTTLE_n41f8b,SALINITY_D_CONC_BOTTLE_zva7jm,Flag_SALINITY_D_CONC_BOTTLE_zva7jm,SILICATE_D_CONC_FISH_7yvjjv,Flag_SILICATE_D_CONC_FISH_7yvjjv,PHOSPHATE_D_CONC_FISH_vdvft4,Flag_PHOSPHATE_D_CONC_FISH_vdvft4,NITRATE_D_CONC_FISH_0w2yqg,Flag_NITRATE_D_CONC_FISH_0w2yqg,NITRITE_D_CONC_FISH_txbmxd,Flag_NITRITE_D_CONC_FISH_txbmxd,SALINITY_D_CONC_FISH_yp29up,Flag_SALINITY_D_CONC_FISH_yp29up,SILICATE_D_CONC_PUMP_nttq7z,Flag_SILICATE_D_CONC_PUMP_nttq7z,PHOSPHATE_D_CONC_PUMP_l3cyv3,Flag_PHOSPHATE_D_CONC_PUMP_l3cyv3,NITRATE_D_CONC_PUMP_cm2gtk,Flag_NITRATE_D_CONC_PUMP_cm2gtk,NITRITE_D_CONC_PUMP_ggojec,Flag_NITRITE_D_CONC_PUMP_ggojec,OXYGEN_D_CONC_PUMP_vehiol,Flag_OXYGEN_D_CONC_PUMP_vehiol,SALINITY_D_CONC_PUMP_8noyqg,Flag_SALINITY_D_CONC_PUMP_8noyqg,SILICATE_D_CONC_UWAY_ajega0,Flag_SILICATE_D_CONC_UWAY_ajega0,PHOSPHATE_D_CONC_UWAY_f1jl3i,Flag_PHOSPHATE_D_CONC_UWAY_f1jl3i,NITRATE_D_CONC_UWAY_mvcqwu,Flag_NITRATE_D_CONC_UWAY_mvcqwu,NITRITE_D_CONC_UWAY_7caiyo,Flag_NITRITE_D_CONC_UWAY_7caiyo,OXYGEN_D_CONC_UWAY_ulgjid,Flag_OXYGEN_D_CONC_UWAY_ulgjid,SALINITY_D_CONC_UWAY_fwcxbm,Flag_SALINITY_D_CONC_UWAY_fwcxbm,CTDRINKO,CTDRINKO_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDOXY,CTDOXY_FLAG_W
33RR20180918,GP15,18.6,1,3,RA-PUMP,2,6777,nd,nd,nd,nd,nd,nd,nd,nd,nd,9,nd,nd,9,nd,nd,nd,nd,nd,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,1.56,2,0.1,2,0.32,2,0,2,nd,9,34.7072,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9
33RR20180918,GP15,18.6,1,4,UWAY,2,6776,nd,nd,nd,nd,nd,nd,nd,nd,nd,9,nd,nd,9,nd,nd,nd,nd,nd,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9
33RR20180918,GP15,18.6,1,5,UWAY,2,6778,nd,nd,nd,nd,nd,nd,nd,nd,nd,9,nd,nd,9,nd,nd,nd,nd,nd,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9
33RR20180918,GP15,18.6,2,1,GF-27,2,6774,13917,20181025,1442,18.9064,-155.258,1333,1300,3.7272,34.5378,2,27.469,nd,9,20181025,1442,2018-10-25T14:42Z,18.9065,-155.2581,116.9,2,3.04,2,42.09,2,0,2,nd,9,34.54,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.704,1,50,2
33RR20180918,GP15,18.6,2,2,GF-48,2,6774,13918,20181025,1442,18.9064,-155.258,1333,1300,3.7272,34.5378,2,27.469,nd,9,20181025,1442,2018-10-25T14:42Z,18.9065,-155.2581,116.81,2,3.04,2,42.24,2,0,2,nd,9,34.5358,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.704,1,50,2
33RR20180918,GP15,18.6,2,3,GF-7,2,6774,13919,20181025,1442,18.9064,-155.258,1333,1260.3,3.7546,34.5356,2,27.464,nd,9,20181025,1445,2018-10-25T14:45Z,18.9065,-155.2581,115.73,2,3.04,2,42.2,2,0,2,nd,9,34.5338,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.704,1,50.4,2
33RR20180918,GP15,18.6,2,4,GF-36,2,6774,13920,20181025,1442,18.9064,-155.258,1333,1260.3,3.7546,34.5356,2,27.464,nd,9,20181025,1445,2018-10-25T14:45Z,18.9065,-155.2581,115.83,2,3.04,2,42.39,2,0,2,nd,9,34.5336,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.704,1,50.4,2
33RR20180918,GP15,18.6,2,5,nd,9,nd,nd,20181025,1442,18.9064,-155.258,1333,1208.3,3.7763,34.534,3,27.46,nd,9,20181025,1449,2018-10-25T14:49Z,18.9065,-155.258,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.704,1,50.2,3
33RR20180918,GP15,18.6,2,6,nd,9,nd,nd,20181025,1442,18.9064,-155.258,1333,1208.9,3.7755,34.5342,3,27.46,nd,9,20181025,1449,2018-10-25T14:49Z,18.9065,-155.258,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.704,1,49.7,3
33RR20180918,GP15,18.6,2,7,GF-9,2,6774,13921,20181025,1442,18.9064,-155.258,1333,1209,3.775,34.534,2,27.46,nd,9,20181025,1449,2018-10-25T14:49Z,18.9065,-155.258,115.34,2,3.04,2,42.24,2,0,2,nd,9,34.5321,2,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,9,nd,1,0.001,1,4.704,1,50.3,2
