CTD,20190703ODFSIO
NUMBER_HEADERS = 11 
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 21
CASTNO = 5
DATE = 20181030
TIME = 0503
LATITUDE = 11.0001
LONGITUDE = -152.0004
INSTRUMENT_ID = 1281
DEPTH = 5477
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,28.8546,2,33.4701,2,196.0073,2,1.3409,1,4.6315,1,0.0184,1
2.0,2,28.8562,2,33.4695,2,195.6954,2,1.3395,1,4.6322,1,0.0185,1
4.0,2,28.8622,2,33.469,2,195.7228,2,1.3379,1,4.632,1,0.0184,1
6.0,2,28.8608,2,33.4691,2,195.1873,2,1.3354,1,4.6323,1,0.0184,1
8.0,2,28.8651,2,33.469,2,195.5849,2,1.3329,1,4.6323,1,0.0183,1
10.0,2,28.8642,2,33.4691,2,195.233,2,1.3294,1,4.6324,1,0.0184,1
12.0,2,28.8649,2,33.469,2,196.0225,2,1.3268,1,4.6323,1,0.0184,1
14.0,2,28.866,2,33.469,2,196.0192,2,1.324,1,4.6321,1,0.0184,1
16.0,2,28.8699,2,33.469,2,196.0897,2,1.3218,1,4.6318,1,0.0185,1
18.0,2,28.8704,2,33.4689,2,196.0129,2,1.3199,1,4.6315,1,0.0186,1
20.0,2,28.8712,2,33.469,2,196.2764,2,1.3174,1,4.6321,1,0.0187,1
22.0,2,28.8683,2,33.4749,2,196.4222,2,1.3152,1,4.6319,1,0.0184,1
24.0,2,28.8654,2,33.4846,2,196.8947,2,1.314,1,4.6285,1,0.0184,1
26.0,2,28.8402,2,33.5515,2,196.4978,2,1.3134,1,4.6312,1,0.0185,1
28.0,2,28.5272,2,33.816,2,197.8264,2,1.3132,1,4.6213,1,0.0211,1
30.0,2,26.9038,2,34.3892,2,202.6726,2,1.313,1,4.6152,1,0.0238,1
32.0,2,26.6194,2,34.3977,2,206.6284,2,1.3129,1,4.6129,1,0.0242,1
34.0,2,25.5397,2,34.5262,2,208.0714,2,1.3131,1,4.6119,1,0.0246,1
36.0,2,24.8323,2,34.5534,2,208.6272,2,1.3142,1,4.6088,1,0.0241,1
38.0,2,23.5382,2,34.5778,2,208.8051,2,1.3157,1,4.6051,1,0.0269,1
40.0,2,23.0232,2,34.6099,2,205.404,2,1.3176,1,4.6023,1,0.0278,1
42.0,2,22.4315,2,34.613,2,204.9328,2,1.3222,1,4.6013,1,0.0265,1
