CTD, 20190703ODFSIO
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 21
CASTNO = 9
DATE = 20181030
TIME = 1815
LATITUDE = 11.0002
LONGITUDE = -152.0002
INSTRUMENT_ID = 1281
DEPTH = 5477
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,6,28.9087,6,33.4339,6,192.6547,6,4.6636,6,0.0012,6,-999,9
2.0,6,28.9087,6,33.4339,6,192.6547,6,4.6636,6,0.0012,6,-999,9
4.0,2,28.9042,2,33.4343,2,191.3688,3,4.6636,1,0.0012,1,-999,9
6.0,2,28.8965,2,33.4347,2,191.9271,3,4.6639,1,0.0012,1,-999,9
8.0,2,28.9043,2,33.4339,2,194.5799,3,4.6646,1,0.0012,1,-999,9
10.0,2,28.9018,2,33.4347,2,193.6521,3,4.665,1,0.0012,1,-999,9
12.0,2,28.9003,2,33.435,2,192.7406,3,4.6644,1,0.0012,1,-999,9
14.0,2,28.8929,2,33.4362,2,192.1542,3,4.6642,1,0.0012,1,-999,9
16.0,2,28.8862,2,33.4394,2,190.9476,3,4.6642,1,0.0012,1,-999,9
18.0,2,28.891,2,33.4378,2,194.4033,3,4.6641,1,0.0012,1,-999,9
20.0,2,28.8873,2,33.4387,2,194.9902,3,4.6634,1,0.0012,1,-999,9
22.0,2,28.8534,2,33.4875,2,192.8818,3,4.6637,1,0.0012,1,-999,9
24.0,2,28.4145,2,33.8104,2,187.3872,3,4.6581,1,0.0018,1,-999,9
26.0,2,26.8939,2,34.3847,2,167.4087,3,4.6154,1,0.0025,1,-999,9
28.0,2,26.0353,2,34.5026,2,179.0305,3,4.6274,1,0.0026,1,-999,9
30.0,2,25.6389,2,34.5194,2,187.4375,3,4.6348,1,0.003,1,-999,9
32.0,2,25.15,2,34.5434,2,190.547,3,4.636,1,0.0036,1,-999,9
34.0,2,24.7791,2,34.5548,2,191.7514,3,4.6364,1,0.0037,1,-999,9
36.0,2,24.275,2,34.5752,2,189.7774,3,4.6339,1,0.0037,1,-999,9
38.0,2,23.155,2,34.5988,2,204.6758,3,4.6278,1,0.0045,1,-999,9
40.0,2,22.123,2,34.6249,2,214.4197,3,4.6296,1,0.0048,1,-999,9
42.0,2,21.7057,2,34.6156,2,186.8989,3,4.6304,1,0.0058,1,-999,9
44.0,2,21.1077,2,34.6116,2,184.5641,3,4.6225,1,0.0079,1,-999,9
46.0,2,20.4626,2,34.6063,2,190.0488,3,4.6185,1,0.0101,1,-999,9
48.0,2,19.8336,2,34.5868,2,199.3525,3,4.6196,1,0.0123,1,-999,9
50.0,2,18.8902,2,34.5723,2,231.9003,3,4.6242,1,0.0124,1,-999,9
52.0,2,18.5017,2,34.5503,2,194.6127,3,4.6296,1,0.0129,1,-999,9
54.0,2,17.9575,2,34.5231,2,185.2336,3,4.6327,1,0.013,1,-999,9
56.0,2,17.4287,2,34.5115,2,188.7486,3,4.6362,1,0.0136,1,-999,9
58.0,2,17.0518,2,34.4863,2,177.1062,3,4.6425,1,0.0121,1,-999,9
60.0,2,16.8811,2,34.4799,2,176.0153,3,4.6443,1,0.0118,1,-999,9
62.0,2,16.7991,2,34.4665,2,153.6545,3,4.6504,1,0.0127,1,-999,9
64.0,2,16.5804,2,34.4507,2,155.0992,3,4.6529,1,0.0123,1,-999,9
66.0,2,16.4106,2,34.4375,2,149.1455,3,4.6554,1,0.0118,1,-999,9
68.0,2,15.6817,2,34.4161,2,180.1752,3,4.6557,1,0.0118,1,-999,9
70.0,2,15.0842,2,34.3885,2,192.518,3,4.6636,1,0.0104,1,-999,9
72.0,2,14.2685,2,34.3278,2,181.4636,3,4.6667,1,0.0101,1,-999,9
74.0,2,13.873,2,34.3391,2,181.0239,3,4.6682,1,0.0092,1,-999,9
76.0,2,13.6312,2,34.3636,2,188.0976,3,4.6656,1,0.009,1,-999,9
78.0,2,13.403,2,34.3707,2,127.1947,3,4.6713,1,0.0083,1,-999,9
80.0,2,13.039,2,34.3896,2,128.9838,3,4.6773,1,0.0078,1,-999,9
82.0,2,12.8094,2,34.4502,2,158.9001,3,4.6809,1,0.0071,1,-999,9
84.0,2,12.6686,2,34.4702,2,150.0869,3,4.6843,1,0.0062,1,-999,9
86.0,2,12.4816,2,34.4752,2,73.648,3,4.6879,1,0.0057,1,-999,9
88.0,2,12.4289,2,34.5078,2,74.2389,3,4.6902,1,0.0053,1,-999,9
90.0,2,12.419,2,34.5272,2,74.3395,3,4.6906,1,0.0052,1,-999,9
92.0,2,12.3172,2,34.5876,2,72.0146,3,4.6922,1,0.0047,1,-999,9
94.0,2,12.1613,2,34.6147,2,111.7864,3,4.6946,1,0.0045,1,-999,9
96.0,2,12.0554,2,34.6238,2,62.1252,3,4.6968,1,0.0039,1,-999,9
98.0,2,12.0154,2,34.6256,2,28.5385,3,4.6966,1,0.0038,1,-999,9
100.0,2,12.0083,2,34.6459,2,25.6336,3,4.6975,1,0.0037,1,-999,9
102.0,2,12.0261,2,34.6621,2,45.1616,3,4.691,1,0.0037,1,-999,9
104.0,2,12.0352,2,34.6673,2,39.3685,3,4.6968,1,0.0037,1,-999,9
106.0,2,12.0429,2,34.6704,2,24.9591,3,4.6979,1,0.0041,1,-999,9
108.0,2,12.0548,2,34.676,2,15.3939,3,4.6972,1,0.0037,1,-999,9
110.0,2,12.0532,2,34.6834,2,18.341,3,4.6986,1,0.0039,1,-999,9
112.0,2,12.0048,2,34.6861,2,13.9154,3,4.6986,1,0.004,1,-999,9
114.0,2,11.9682,2,34.6925,2,8.6549,3,4.6973,1,0.0037,1,-999,9
116.0,2,11.9193,2,34.6921,2,10.3462,3,4.6991,1,0.0036,1,-999,9
118.0,2,11.8881,2,34.7008,2,8.1339,3,4.7007,1,0.0037,1,-999,9
120.0,2,11.8297,2,34.7101,2,10.3733,3,4.7019,1,0.0036,1,-999,9
122.0,2,11.7905,2,34.7137,2,11.5175,3,4.7021,1,0.0029,1,-999,9
124.0,2,11.7648,2,34.7188,2,9.9077,3,4.7031,1,0.0032,1,-999,9
126.0,2,11.7308,2,34.7237,2,8.3213,3,4.7032,1,0.0032,1,-999,9
128.0,2,11.7073,2,34.7253,2,7.4246,3,4.7033,1,0.0027,1,-999,9
130.0,2,11.6948,2,34.7257,2,5.6493,3,4.7029,1,0.0029,1,-999,9
132.0,2,11.6775,2,34.7258,2,5.0144,3,4.7025,1,0.0032,1,-999,9
134.0,2,11.6082,2,34.7284,2,5.6668,3,4.7027,1,0.0025,1,-999,9
136.0,2,11.5466,2,34.7313,2,3.568,3,4.703,1,0.0024,1,-999,9
138.0,2,11.4958,2,34.7314,2,4.8197,3,4.7032,1,0.0024,1,-999,9
140.0,2,11.4634,2,34.7334,2,3.943,3,4.7034,1,0.0021,1,-999,9
