CTD,20190703ODFSIO
NUMBER_HEADERS = 11 
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 33
CASTNO = 5
DATE = 20181113
TIME = 0315
LATITUDE = -5.0004
LONGITUDE = -152.0006
INSTRUMENT_ID = 1281
DEPTH = 5423
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,2,27.8411,2,35.5201,2,200.1825,2,1.3162,1,4.5982,1,0.0384,1
2.0,2,27.8419,2,35.5202,2,200.9104,2,1.3182,1,4.5961,1,0.0385,1
4.0,2,27.8441,2,35.5203,2,200.6819,2,1.3147,1,4.5981,1,0.0384,1
6.0,2,27.8466,2,35.52,2,200.5382,2,1.308,1,4.5984,1,0.0386,1
8.0,2,27.8515,2,35.5198,2,200.4371,2,1.3021,1,4.5991,1,0.0382,1
10.0,2,27.8516,2,35.5196,2,200.1036,2,1.301,1,4.5988,1,0.0381,1
12.0,2,27.8515,2,35.5196,2,200.542,2,1.3,1,4.5986,1,0.0391,1
14.0,2,27.8528,2,35.5198,2,201.1816,2,1.3,1,4.5951,1,0.0383,1
16.0,2,27.8539,2,35.5198,2,200.5301,2,1.2999,1,4.5978,1,0.0383,1
18.0,2,27.8542,2,35.5197,2,200.6537,2,1.2985,1,4.5985,1,0.0387,1
20.0,2,27.855,2,35.5198,2,200.6247,2,1.2956,1,4.599,1,0.0384,1
22.0,2,27.8511,2,35.5201,2,200.8389,2,1.2934,1,4.5992,1,0.0384,1
24.0,2,27.8467,2,35.5205,2,200.7435,2,1.2905,1,4.5985,1,0.0384,1
26.0,2,27.8541,2,35.5203,2,200.6356,2,1.2895,1,4.5972,1,0.0377,1
28.0,2,27.8538,2,35.5202,2,200.4139,2,1.2873,1,4.5983,1,0.039,1
30.0,2,27.8547,2,35.52,2,200.5533,2,1.2872,1,4.5987,1,0.0391,1
32.0,2,27.8564,2,35.5201,2,200.5734,2,1.2846,1,4.5984,1,0.0381,1
34.0,2,27.8583,2,35.5201,2,200.8534,2,1.2816,1,4.5986,1,0.0388,1
36.0,2,27.8574,2,35.5202,2,201.2932,2,1.2792,1,4.5986,1,0.0391,1
38.0,2,27.8573,2,35.5202,2,201.2669,2,1.2773,1,4.5992,1,0.0389,1
40.0,2,27.8575,2,35.5201,2,200.9907,2,1.2757,1,4.5977,1,0.0388,1
42.0,2,27.858,2,35.5201,2,200.8599,2,1.2743,1,4.5978,1,0.0392,1
44.0,2,27.8584,2,35.5201,2,201.5118,2,1.2733,1,4.5957,1,0.0396,1
46.0,2,27.8575,2,35.5199,2,201.251,2,1.2727,1,4.5987,1,0.0394,1
48.0,2,27.85,2,35.518,2,200.4854,2,1.2723,1,4.5984,1,0.0399,1
50.0,2,27.8408,2,35.5152,2,201.8107,2,1.2716,1,4.5971,1,0.0417,1
52.0,2,27.8384,2,35.5144,2,201.3019,2,1.2709,1,4.5961,1,0.0415,1
54.0,2,27.8182,2,35.5097,2,201.1436,2,1.2703,1,4.5955,1,0.0427,1
56.0,2,27.7485,2,35.4971,2,201.0116,2,1.2703,1,4.5912,1,0.0466,1
58.0,2,27.7268,2,35.4925,2,201.6657,2,1.2706,1,4.5907,1,0.0494,1
60.0,2,27.6878,2,35.4852,2,202.1279,2,1.2711,1,4.5908,1,0.0511,1
62.0,2,27.6753,2,35.4829,2,202.3132,2,1.2714,1,4.5901,1,0.0526,1
64.0,2,27.6324,2,35.4762,2,202.2389,2,1.2718,1,4.5877,1,0.0528,1
66.0,2,27.6252,2,35.4753,2,202.5813,2,1.2721,1,4.5875,1,0.0534,1
68.0,2,27.5722,2,35.4719,2,202.0812,2,1.2728,1,4.5818,1,0.0576,1
70.0,2,27.4822,2,35.464,2,202.0923,2,1.2736,1,4.5872,1,0.0547,1
72.0,2,27.3484,2,35.4505,2,201.432,2,1.274,1,4.5872,1,0.0562,1
74.0,2,27.2297,2,35.4343,2,200.461,2,1.2736,1,4.5886,1,0.0565,1
76.0,2,27.173,2,35.4246,2,200.5945,2,1.2734,1,4.5893,1,0.0559,1
78.0,2,27.1152,2,35.4159,2,200.2379,2,1.2741,1,4.5906,1,0.057,1
80.0,2,26.9946,2,35.3967,2,199.6364,2,1.2745,1,4.5917,1,0.0582,1
82.0,2,26.8175,2,35.3688,2,199.4333,2,1.2758,1,4.592,1,0.0593,1
84.0,2,26.7489,2,35.3581,2,198.1869,2,1.2786,1,4.5939,1,0.0591,1
86.0,2,26.7143,2,35.3511,2,198.2871,2,1.2812,1,4.5971,1,0.0552,1
88.0,2,26.6988,2,35.3489,2,197.4299,2,1.283,1,4.5988,1,0.0542,1
90.0,2,26.6517,2,35.3447,2,197.2753,2,1.2842,1,4.6014,1,0.0554,1
92.0,2,26.6479,2,35.3441,2,197.3246,2,1.288,1,4.603,1,0.0556,1
94.0,2,26.6307,2,35.3413,2,197.1028,2,1.2922,1,4.6032,1,0.0554,1
96.0,2,26.6271,2,35.3406,2,196.5695,2,1.2935,1,4.6043,1,0.0549,1
98.0,2,26.6206,2,35.3398,2,195.5268,2,1.2948,1,4.6052,1,0.0531,1
100.0,2,26.6268,2,35.346,2,196.1442,2,1.2966,1,4.6055,1,0.0542,1
102.0,2,26.6464,2,35.3664,2,195.5282,2,1.2972,1,4.6083,1,0.0538,1
104.0,2,26.6488,2,35.3687,2,195.6392,2,1.2989,1,4.6102,1,0.0537,1
106.0,2,26.6466,2,35.3792,2,194.3106,2,1.3004,1,4.6113,1,0.052,1
108.0,2,26.6384,2,35.3799,2,194.4977,2,1.3014,1,4.613,1,0.0513,1
110.0,2,26.6372,2,35.3802,2,194.2431,2,1.3019,1,4.6144,1,0.0512,1
112.0,2,26.6373,2,35.382,2,194.4915,2,1.3029,1,4.6176,1,0.0496,1
114.0,2,26.6377,2,35.384,2,194.019,2,1.3035,1,4.62,1,0.0489,1
116.0,2,26.6343,2,35.385,2,193.7187,2,1.3035,1,4.6207,1,0.048,1
118.0,2,26.6215,2,35.3849,2,193.8421,2,1.3042,1,4.6213,1,0.045,1
120.0,2,26.5877,2,35.3814,2,192.63,2,1.3053,1,4.6217,1,0.0438,1
122.0,2,26.5302,2,35.3747,2,192.0562,2,1.3065,1,4.6246,1,0.0417,1
124.0,2,26.4813,2,35.3809,2,191.9401,2,1.3078,1,4.6256,1,0.0399,1
126.0,2,26.4192,2,35.4065,2,190.7473,2,1.3089,1,4.6264,1,0.0387,1
128.0,2,26.3117,2,35.4446,2,189.4996,2,1.3102,1,4.6288,1,0.0391,1
130.0,2,26.077,2,35.548,2,185.7823,2,1.3114,1,4.6307,1,0.0351,1
132.0,2,25.8892,2,35.5995,2,183.6343,2,1.313,1,4.6326,1,0.0324,1
134.0,2,25.6518,2,35.6598,2,180.8525,2,1.3166,1,4.6335,1,0.0312,1
136.0,2,25.2583,2,35.7696,2,176.9543,2,1.3208,1,4.6349,1,0.0303,1
138.0,2,24.8015,2,35.9146,2,171.5845,2,1.3247,1,4.6374,1,0.0283,1
140.0,2,24.7005,2,35.968,2,167.6894,2,1.3298,1,4.6379,1,0.0284,1
142.0,2,24.6221,2,36.0208,2,166.3295,2,1.339,1,4.6384,1,0.0274,1
144.0,2,24.4965,2,36.1096,2,163.3655,2,1.3483,1,4.639,1,0.0253,1
146.0,2,23.9218,2,36.1531,2,159.9041,2,1.3557,1,4.6398,1,0.0239,1
148.0,2,22.8448,2,36.0936,2,157.4016,2,1.3614,1,4.6409,1,0.0235,1
150.0,2,22.538,2,36.061,2,157.3091,2,1.3713,1,4.6422,1,0.0236,1
152.0,2,22.2019,2,36.0244,2,158.4352,2,1.3845,1,4.6425,1,0.024,1
154.0,2,21.7547,2,35.9897,2,157.9612,2,1.3986,1,4.6435,1,0.0244,1
156.0,2,21.309,2,35.9429,2,156.4603,2,1.4161,1,4.6446,1,0.0237,1
158.0,2,20.786,2,35.8688,2,153.7261,2,1.4362,1,4.6452,1,0.0223,1
160.0,2,20.2206,2,35.7907,2,147.3002,2,1.4529,1,4.6458,1,0.022,1
162.0,2,19.6062,2,35.721,2,141.7478,2,1.4704,1,4.6459,1,0.021,1
164.0,2,19.304,2,35.6721,2,131.9823,2,1.4869,1,4.646,1,0.0212,1
166.0,2,19.0409,2,35.6341,2,124.2756,2,1.5015,1,4.6464,1,0.0214,1
168.0,2,18.7295,2,35.5868,2,119.8178,2,1.5123,1,4.6464,1,0.0212,1
170.0,2,18.2169,2,35.5263,2,114.7929,2,1.5299,1,4.6464,1,0.0213,1
172.0,2,17.9683,2,35.4964,2,107.4974,2,1.5504,1,4.6475,1,0.022,1
174.0,2,17.9334,2,35.4856,2,104.9909,2,1.5757,1,4.6473,1,0.022,1
176.0,2,17.7712,2,35.4618,2,104.6119,2,1.5958,1,4.6475,1,0.0219,1
178.0,2,17.2775,2,35.415,2,102.3849,2,1.6206,1,4.6484,1,0.0208,1
180.0,2,16.9103,2,35.3735,2,95.7089,2,1.656,1,4.6484,1,0.0208,1
182.0,2,16.617,2,35.3331,2,96.3166,2,1.6789,1,4.6489,1,0.0208,1
184.0,2,16.273,2,35.2976,2,87.0829,2,1.6977,1,4.6487,1,0.0208,1
186.0,2,15.7033,2,35.2386,2,80.739,2,1.7245,1,4.6489,1,0.0208,1
188.0,2,15.4585,2,35.2076,2,67.9971,2,1.75,1,4.6496,1,0.0201,1
190.0,2,15.3418,2,35.1858,2,62.2708,2,1.7878,1,4.6497,1,0.0195,1
192.0,2,15.0635,2,35.1524,2,60.2717,2,1.8235,1,4.6504,1,0.0195,1
194.0,2,14.7906,2,35.1244,2,56.9781,2,1.8567,1,4.6507,1,0.0189,1
196.0,2,14.4773,2,35.0914,2,51.7358,2,1.8904,1,4.6503,1,0.0189,1
198.0,2,14.2941,2,35.0709,2,46.2502,2,1.931,1,4.6513,1,0.0184,1
200.0,2,14.0502,2,35.0433,2,45.0352,2,1.9609,1,4.6522,1,0.0183,1
202.0,2,13.8907,2,35.0271,2,43.102,2,1.9928,1,4.6522,1,0.0184,1
204.0,2,13.7671,2,35.0139,2,41.7206,2,2.0259,1,4.6521,1,0.0184,1
206.0,2,13.6705,2,35.0017,2,40.8481,2,2.0559,1,4.6532,1,0.0178,1
208.0,2,13.6087,2,34.9911,2,37.6411,2,2.0985,1,4.6528,1,0.0182,1
210.0,2,13.5104,2,34.9806,2,35.232,2,2.1357,1,4.6521,1,0.0185,1
212.0,2,13.426,2,34.9716,2,32.9319,2,2.1668,1,4.6529,1,0.0178,1
214.0,2,13.385,2,34.9667,2,31.4675,2,2.2002,1,4.6531,1,0.0174,1
216.0,2,13.3031,2,34.9603,2,31.3031,2,2.2251,1,4.6532,1,0.0177,1
218.0,2,13.2233,2,34.9523,2,29.5242,2,2.253,1,4.6527,1,0.0171,1
220.0,2,13.2087,2,34.9477,2,25.7217,2,2.2995,1,4.6525,1,0.0171,1
222.0,2,13.1911,2,34.9441,2,25.0451,2,2.3355,1,4.6528,1,0.0171,1
