CTD, 20190703ODFSIO
NUMBER_HEADERS = 11
EXPOCODE = 33RR20180918 
SECT_ID = GP15
STNNBR = 33
CASTNO = 9
DATE = 20181113
TIME = 1612
LATITUDE = -4.9997
LONGITUDE = -152.0026
INSTRUMENT_ID = 1281
DEPTH = 5423
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDRINKO,CTDRINKO_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,
0.0,6,27.9553,6,35.5233,6,198.1494,6,4.6445,6,0.0024,6,-999,9
2.0,6,27.9553,6,35.5233,6,198.1494,6,4.6445,6,0.0024,6,-999,9
4.0,2,27.9554,2,35.5237,2,202.3687,2,4.6449,1,0.0025,1,-999,9
6.0,2,27.9493,2,35.526,2,202.0997,2,4.6454,1,0.0024,1,-999,9
8.0,2,27.9321,2,35.5255,2,202.3915,2,4.6456,1,0.0025,1,-999,9
10.0,2,27.943,2,35.5254,2,201.6781,2,4.6459,1,0.0024,1,-999,9
12.0,2,27.9302,2,35.5251,2,201.2676,2,4.6464,1,0.0024,1,-999,9
14.0,2,27.8945,2,35.5244,2,201.8392,2,4.6438,1,0.0024,1,-999,9
16.0,2,27.8488,2,35.5236,2,202.175,2,4.6401,1,0.0033,1,-999,9
18.0,2,27.8407,2,35.5234,2,202.1648,2,4.6393,1,0.0036,1,-999,9
20.0,2,27.8392,2,35.5232,2,201.8097,2,4.64,1,0.0037,1,-999,9
22.0,2,27.8384,2,35.523,2,201.519,2,4.6396,1,0.0037,1,-999,9
24.0,2,27.8348,2,35.5221,2,202.5049,2,4.6395,1,0.004,1,-999,9
26.0,2,27.8334,2,35.5216,2,201.7607,2,4.6395,1,0.0045,1,-999,9
28.0,2,27.8324,2,35.5213,2,201.5415,2,4.639,1,0.0046,1,-999,9
30.0,2,27.832,2,35.5212,2,201.8495,2,4.6396,1,0.0048,1,-999,9
32.0,2,27.8321,2,35.5211,2,201.7137,2,4.6396,1,0.0049,1,-999,9
34.0,2,27.8308,2,35.521,2,202.2507,2,4.64,1,0.005,1,-999,9
36.0,2,27.8309,2,35.5209,2,201.6649,2,4.6395,1,0.005,1,-999,9
38.0,2,27.8311,2,35.5209,2,201.5171,2,4.64,1,0.005,1,-999,9
40.0,2,27.8296,2,35.5204,2,202.2525,2,4.6411,1,0.0057,1,-999,9
42.0,2,27.8264,2,35.5199,2,201.9042,2,4.641,1,0.0054,1,-999,9
44.0,2,27.8251,2,35.5195,2,201.9722,2,4.6407,1,0.0054,1,-999,9
46.0,2,27.8214,2,35.5192,2,202.1304,2,4.64,1,0.0063,1,-999,9
48.0,2,27.8211,2,35.5192,2,201.4815,2,4.6417,1,0.0062,1,-999,9
50.0,2,27.8211,2,35.5193,2,201.9689,2,4.6422,1,0.0061,1,-999,9
52.0,2,27.8204,2,35.5192,2,201.406,2,4.6417,1,0.0063,1,-999,9
54.0,2,27.8201,2,35.519,2,201.8272,2,4.6402,1,0.0065,1,-999,9
56.0,2,27.8185,2,35.5188,2,201.6236,2,4.642,1,0.0068,1,-999,9
58.0,2,27.811,2,35.5172,2,201.3702,2,4.6421,1,0.0068,1,-999,9
60.0,2,27.7971,2,35.5143,2,201.4571,2,4.6431,1,0.0071,1,-999,9
62.0,2,27.7679,2,35.5097,2,202.141,2,4.642,1,0.0074,1,-999,9
64.0,2,27.7422,2,35.5046,2,201.5718,2,4.6408,1,0.0083,1,-999,9
66.0,2,27.7153,2,35.4993,2,201.704,2,4.6376,1,0.0085,1,-999,9
68.0,2,27.598,2,35.4762,2,201.6999,2,4.6337,1,0.0096,1,-999,9
70.0,2,27.2933,2,35.4395,2,201.6467,2,4.6246,1,0.0128,1,-999,9
72.0,2,27.1252,2,35.4187,2,201.3442,2,4.6278,1,0.0141,1,-999,9
