param,id,val
B2,MNA,0.005475851
B2,MNA,0.032855109
B2,MNA,0.208082357
B2,MNWA,0.024641332
B2,MNWA,0.030117183
B2,MNWA,0.035593035
B2,MNWA,0.049282663
B2,MNWA,0.046544738
B2,MNWA,0.043806812
B2,CEP,0.022271749
B2,CEP,0.119746904
B2,CEP,0.017537914
B2,CEP,0.000362386
B2,CEP,0.000336145
B2,CEP,0.000973686
B2,CEP,0.000177441
B2,CEP,5.1185E-05
B2,CEP,0.049238826
B2,CEP,0.003823117
B2,CEP,0.005448334
B2,CEP,0.105190864
B2,CEP,0.1
B2,CEP,0.005050062
B2,CEP,0.008591439
B2,CEP,0.006841713
B2,CEP,0.000650409
B2,CEP,0.000650409
B2,CEP,0.000667077
B2,CSP,0.139924719
B2,CSP,0.076592807
B2,CSP,0.044086948
B2,CSP,0.082266536
B2,CSP,0.035286398
B2,CSP,0.02573496
B2,CSP,0.03306238
B2,CSP,0.018492472
B2,CSP,0.011768773
B2,CSP,0.005864145
B2,CSP,0.005698276
B2,CSP,0.004401419
B2,CSP,0.00400657
B2,CSP,0.006525327
B2,CSP,0.003623663
B2,CSP,0.004415704
B2,CSP,0.003162278
B2,CSP,0.002187762
Bm2,MNA,0.427116417
Bm2,MNA,0.878874165
Bm2,MNA,1.434673092
Bm2,MNWA,7.365020261
Bm2,MNWA,6.242470704
Bm2,MNWA,5.147300405
Bm2,MNWA,2.60102946
Bm2,MNWA,2.3819954
Bm2,MNWA,1.587996934
Bm2,BRIG,0.148179142
Bm2,BRIG,0.071266186
Bm2,CEP,0.043915115
Bm2,CEP,8.973590365
Bm2,CEP,1.859098607
Bm2,CEP,0.296380986
Bm2,CEP,0.344316102
Bm2,CEP,0.35542878
Bm2,CEP,0.166400201
Bm2,CEP,0.170125428
Bm2,CEP,5.500277681
Bm2,CEP,0.587801607
Bm2,CEP,0.733473817
Bm2,CEP,4.407890215
Bm2,CEP,1.77827941
Bm2,CEP,13.93897276
Bm2,CEP,0.717412981
Bm2,CEP,0.915247311
Bm2,CEP,0.801394124
Bm2,CEP,0.152297336
Bm2,CEP,0.181809003
Bm2,CEP,0.212286842
Bm1s,MNA,0.035593035
Bm1s,MNA,0.087613624
Bm1s,MNA,0.161537619
Bm1s,MNWA,0.191654802
Bm1s,MNWA,2.184864746
Bm1s,MNWA,1.034935933
Bm1s,MNWA,4.83517687
Bm1s,MNWA,0.309385609
Bm1s,MNWA,2.765305005
Bm1s,CEP,0.004351671
Bm1s,CEP,0.141891131
Bm1s,CEP,0.351569006
Bm1s,CEP,0.132869175
Bm1s,CEP,0.042374822
Bm1s,CEP,0.012626537
Bm1s,CEP,0.010698107
Bm1s,CEP,0.007478896
Bm1s,CEP,0.005623134
Bm1s,CEP,0.00523806
