date,event,cryovial_id,gt_num,niskin,depth,volume,bottle,station,cast,but,hex,allo,bcar,acar,chla,chlb,chlc12,chlc3,cphilid,diadino,diato,fuco,lut,neo,peri,prasino,viola,zea
9/26/18,6532,12443,12443,36,5,2.22,6,1,3,39.9,115.6,111.4,120.9,20,2631,517,160.5,91.7,83,113.5,9.3,508.1,16.2,81.9,7.9,240.1,84.7,147.9
9/26/18,6532,12444,12444,33,20,2.22,5,1,3,16.2,94.3,70.8,71.6,14.9,2308.5,549.6,141.1,75,0,76.8,5.2,502.1,13.5,86,11.1,230.7,44.3,145.3
9/26/18,6532,12445,12445,28,30,2.22,4,1,3,3.9,40.2,13.8,22.4,6.6,609.2,177.2,25.2,25.3,29.2,22.7,0,139.4,8.9,38.1,5.2,66.1,9.7,36.1
9/26/18,6532,12446,12446,21,40,2.22,3,1,3,2.9,18.5,3.8,10.1,2.6,202.4,46.4,9.8,7.1,22.6,10.5,0,52.7,1.4,13.1,0,16.6,1.8,8.1
9/26/18,6532,12447,12447,16,50,2.22,2,1,3,0,12.4,0,5.3,1.2,146.9,28.8,8,7.5,15.4,7.3,1.6,41.6,1.9,9.7,0,9.6,0,3.7
9/26/18,6532,12448,12448,10,70,2.22,1,1,3,1.6,8.6,2.9,2.8,0.5,107.4,11,4.3,1.9,0,5.4,1.2,30.5,1.4,5.3,0,4.3,0,2.7
9/26/18,6539,12473,12473,36,5,2.22,6,2,3,79.9,257.3,57.4,33.3,9.9,1389.2,231.3,123.5,173.6,0,60.1,6,291.8,23.6,36.1,9.7,52,28.8,49
9/26/18,6539,12474,12474,33,15,2.22,5,2,3,106,277.4,67.5,32.9,9.6,1606.7,268,147.7,176.1,0,65.9,6.4,338.1,27,39.1,16.1,41.9,29.3,55.5
9/26/18,6539,12475,12475,30,25,2.22,4,2,3,75.9,222.7,46.8,29.2,8.1,1287.8,192.8,109.8,176.2,0,46,5.7,280.8,23.5,35.6,28.4,47.8,29.4,49.3
9/26/18,6539,12476,12476,27,35,2.22,3,2,3,18,92.3,10.5,12.4,4.1,550.3,109,40.2,77.6,21.6,17.3,5.5,148.2,10.5,23.3,20.7,18.7,10,14.6
