station,depth,flux
4,3,0.512522527
4,21.30571315,1.634861776
4,31.90819374,2.322610307
4,37.11871035,2.642898222
4,49.74290177,1.953776904
4,58.65298844,1.350157697
4,69.35928407,0.988281581
4,71.34063221,0.999991278
4,100,1.113679761
4,101.058552,1.175541993
4,146.7166818,0.485437666
4,199.5921241,-0.114935737
4,300.6512541,0.126723253
4,401.3639853,-2.040776086
4,802.2432646,-3.025079471
4,1199.886576,-6.414036798
4,1602.872649,-9.73383966
4,1997,-12.79984818
4,2749.261367,-7.609667299
4,3594.471803,-6.197488545
4,4501.756082,-16.46375923
4,5001.319475,-7.242582355
4,5290.722897,-5.69062414
4,5489.733819,-6.160046893
4,5538.80744,-6.380017881
5,3,0.989104136
5,25.17239493,3.005672858
5,36.55014196,2.699232613
5,39.83834519,2.847594893
5,54.70141057,1.58737763
5,63.07376994,1.50973707
5,69.4643195,1.554695021
5,83.23546885,1.598441709
5,90.66555996,1.597096511
5,100,1.645482536
5,120.4822798,2.241451684
5,140.687821,3.761080817
5,199.8072988,1.498329322
5,301.2708714,0.317904251
5,450.3561908,0.034130022
5,603.3853936,-0.697555281
5,802.9045312,-3.415172304
5,984,0.595172034
5,1491,-2.583509335
5,2502,0.288744491
5,3517,6.683594299
5,4171,8.652671287
5,4370,17.47444458
5,4519,9.256527147
5,4595,10.07369055
6,3,0.373774396
6,20.31957841,1.049538968
6,30.52816513,1.441203114
6,30.60564958,1.656387148
6,40.93445216,1.848890593
6,60.15991332,1.076636329
6,69.40887089,0.975907782
6,90.48093779,1.998727166
6,100,2.916855384
6,107.0267919,3.431439017
6,119.5096053,3.763340312
6,149.9208946,1.908403583
6,250.2362551,0.630317727
6,350.1068078,0.75412787
6,551.7787367,0.855891154
6,749.6984742,1.250988003
6,1001.592574,-0.208168037
6,1492.1,-1.795346744
6,1993.1,-3.952291675
6,2494.1,-3.500149962
6,2995.1,-3.042959615
6,3497.1,-6.062845183
6,3998.1,-12.24214798
6,4497.1,-9.420492053
6,5063.6,-6.929443956
8,3,1.214730111
8,29.30494639,4.844868062
8,29.64967197,5.513285473
8,40.95309731,7.348999883
8,48.98409895,6.822367292
8,59.09676374,4.079756454
8,68.81238275,1.564389414
8,69.40720145,1.453956039
8,73.04343068,0.869219028
8,94.98277666,0.26383723
8,100,0.490666238
8,118.6720296,1.714771298
8,151.1783455,1.835849034
8,199.9281587,1.364335551
8,251.7369117,1.749869337
8,300.9579809,1.566922983
8,400.6,0.943128508
8,400.6514979,0.783945628
8,500.6,1.394967082
8,601.6,2.50405659
8,801.6,1.105295922
8,1002.1,1.12449026
8,1301.4,1.862093361
8,1699.9,-0.587112839
8,1891.4,-1.016515069
8,1902.8,-2.482626277
8,2292.4,1.725416893
8,2994.4,0.025932693
8,3996.4,0.94050213
8,4497,10.1487306
8,4995.5,0.432597038
8,5046.8,0.632883996
8,5088,1.110186833
10,3,0.350709131
10,25.39763781,0.929967067
10,33.66068186,1.23723993
10,40.17840522,1.47906933
10,51.58565019,1.498637
10,60.21505665,1.88906682
10,80.94398372,2.64994208
10,87.28244091,2.539618637
10,91.25807517,2.385143025
10,100,1.979538018
10,102.3649769,2.048386483
10,151.842879,0.951995069
10,223.5101375,0.411769146
10,302.2855316,0.802261275
10,400.9351795,0.009258651
10,600.4672919,-0.963610992
10,997.8699395,-0.29626939
10,1220.8,1.20586808
10,1731.8,3.7238332
10,2253.216663,12.04152485
10,2751.938162,8.351091668
10,3500.946658,14.56100156
10,4897.810165,18.20687434
10,5016.286475,16.67732614
10,5056.023221,18.54308131
12,3,0.061454932
12,25.40912776,1.52281163
12,41.4867119,1.264516657
12,44.19988059,1.530080847
12,60.73845417,2.396383194
12,85.54473248,1.435571925
12,96.3593298,1.051015531
12,100,1.007057678
12,105.9828494,1.000319688
12,116.1627166,1.063206632
12,141.0999041,1.129787724
12,148.8367512,1.026127752
12,181.1696518,1.332655378
12,326.0101537,1.384182464
12,425.980852,0.876232881
12,701.1703973,0.372634669
12,1098.857321,-1.955133392
12,1887.6,-1.261155875
12,2738.6,0.035645268
12,3489.6,-0.119155713
12,4502.368713,4.633122122
12,5425.662366,2.849410132
12,5505.893596,2.444944348
12,5544.789317,4.588693039
14,3,0.360126734
14,25.22147446,1.156126006
14,38.228186,1.543220352
14,43.53145808,1.572961296
14,45.17799862,1.839983644
14,59.87111198,1.163723005
14,74.56317185,0.727920871
14,84.78742988,0.619222517
14,100,0.582158311
14,100.0732336,0.694841206
14,124.5876957,0.631480247
14,137.5818079,0.682328121
14,149.5953838,0.719995337
14,166.7615974,-0.444113437
14,299.5776202,-0.43470347
14,400.991743,-0.091147217
14,500.1,-0.166249026
14,500.176682,-0.162296523
14,599.1,-0.237633892
14,799.1,-0.289465116
14,1000.6,-0.314368037
14,1198.9,-0.489577993
14,1499.3,-5.169759403
14,1699.5,-3.419817779
14,1893.9,-2.653760871
14,1903.727,-9.24162551
14,2295.9,-3.019398782
14,2745.9,-0.998547146
14,3495.9,0.216518462
14,4495.8,0.282149609
14,5082.4,0.782414216
14,5165.7,0.290164582
14,5204.814,0.570739868
16,3,0.733021103
16,30.79385029,1.082972074
16,49.56589432,0.514839011
16,54.5010022,0.390527533
16,64.41297658,0.356785677
16,65.65484933,0.451053208
16,86.11182056,0.325721036
16,100,0.113321476
16,111.531233,-0.032247681
16,126.1261131,-0.016061616
16,150.5478769,-0.023436206
16,152.9303327,-0.187863477
16,200.6728882,-0.841206715
16,299.6959013,-0.966780697
16,526.3370393,-0.567694448
16,653.0327681,-0.786975329
16,847.82879,-1.133517474
16,1239.3,-3.047064218
16,2240.3,-0.682567075
16,2990.3,-1.254734615
16,3992.3,-6.982854022
16,5198.5,-1.125001021
16,5281.3,-0.468458242
16,5321.1,-0.825277982
18,3,0.922958676
18,40.44244192,2.068929753
18,40.47757671,1.924788284
18,53.47338821,2.016631432
18,61.00838681,2.239205076
18,80.18154031,0.90367713
18,100,0.958132313
18,110.8747239,1.25637183
18,129.9439048,0.962187424
18,149.9050564,0.684408415
18,180.7863988,2.198919644
18,300.3954227,1.269060632
18,450.1809899,1.072065385
18,601.0471175,4.958579818
18,700.1109577,1.503348746
18,848.5192302,7.01621249
18,999.2943005,4.409000121
18,1100,12.71287612
18,1750,15.28736796
18,2250,22.88367221
18,2409.9,18.48557419
18,2909.9,19.89646079
18,3167.5,40.08766052
18,3254.9,25.30675655
18,3292.1,39.75724136
19,3,0.016135153
19,25.64441675,0.401608351
19,39.92658416,0.960438412
19,55.06196663,1.785316474
19,80.40140526,1.694480206
19,100,1.080161366
19,110.3078537,0.765014755
19,117.8717199,0.543344402
19,150.1432332,0.115023905
19,162.9564638,0.044376074
19,261.2639949,0.478181603
19,350.6930013,0.590441885
19,400.8991734,0.538870653
19,551.0479881,0.887510665
19,675.5274462,0.592909353
19,800.0313366,0.513287955
19,1073.935394,0.489590466
19,1498,2.471232309
19,2099,3.3558263
19,2700,6.104200956
19,3500,-6.550653413
19,4498,20.89165223
19,4971.8,4.645712798
19,5053.3,9.99851665
19,5094.2,10.25769675
21,3,0.128730191
21,20.58129496,0.31270556
21,25.35870305,0.441082712
21,45.73340538,0.374990448
21,60.54486523,0.526685691
21,80.42433867,0.698504852
21,97.72079854,0.744304674
21,100,0.741052435
21,100.6994182,0.711130454
21,125.7423409,0.460776532
21,149.0931101,0.442775721
21,151.1796448,0.457615218
21,251.1098323,-0.081254363
21,300.2624524,-0.118894121
21,400.7158064,-0.012064507
21,600.7821722,-0.299326964
21,750.6310341,-0.213048184
21,898.5900149,-0.22902679
21,1402.2,0.278466066
21,2006.2,3.006953351
21,2507.2,0.038567328
21,3256.2,4.496378111
21,4256.2,6.995043264
21,5220.3,6.289868761
21,5304.4,8.19671096
21,5345.9,7.513024463
23,3,-0.058061992
23,26.44978755,-0.054320072
23,35.26050925,0.099978522
23,60.25282003,0.181513201
23,68.90152463,0.168847463
23,79.83614666,0.270318505
23,99.71578546,0.328721345
23,100,0.405846637
23,129.3356219,0.36770627
23,129.4322568,0.361241552
23,159.9393464,0.215776145
23,166.9940875,0.164506157
23,199.5818621,-0.001895027
23,299.6973801,0.270499858
23,500.0803746,-0.944635464
23,599.7529335,-0.2400887
23,791.7,0.000681596
23,799.74701,0.573882627
23,1240.7,2.967091758
23,1738.7,3.235491219
23,2136.7,3.724877642
23,2286.7,3.720108173
23,2433.7,1.216479165
23,2586.7,3.485974818
23,2741.2,3.059715709
23,2918.7,4.86565035
23,3116.7,5.613800536
23,3314.7,8.02745971
23,3508.7,5.632544879
23,4001.7,4.137383229
23,4500.7,4.649489882
23,4747.7,3.152729381
23,5055.3,8.113713942
25,3,0.130874324
25,26.74940714,0.382534736
25,30.8153429,0.622384581
25,52.69995798,1.166221614
25,80.93361048,1.479972223
25,97.7327791,1.401241083
25,100,1.518775193
25,123.9725175,1.17340199
25,149.712035,0.959214333
25,163.0277402,0.96032642
25,184.5990256,1.049317527
25,200.485958,1.165289899
25,501.2957606,1.847560188
25,800.7774889,1.892186516
25,1200.802271,1.723568595
