station,mgC_m2_d
1,2033.733765
2,1302.508057
3,2528.382813
4,729.3894043
5,751.8533325
6,545.1045532
7,419.2926636
8,791.7619019
9,498.9178162
10,439.8745728
11,304.7545471
12,280.0119934
13,275.8703918
14,261.3903198
15,247.6363373
16,213.3870087
17,243.4066315
18,218.4374847
18.3,239.2010651
18.6,217.8767242
19,160.7667999
20,149.6487579
21,186.0506897
22,125.6609497
23,117.4035645
25,202.464386
27,229.8314667
29,368.0281067
31,295.3544922
33,292.2689514
34,253.9995422
35,210.0051575
36,149.1723938
37,131.232132
38,102.2332001
39,143.2041473
