GTNum,GTStn,CastType,Pump,StationType,CastNumber,Eventnumber,Latitudedegrees_north,Longitudedegrees_east,Bottomdepthm,DateatMidcastGMTyyyymmdd,TimeGMTatmidcasthhmm,TargetGTDepthm,CorrectedMeanDepthm,stddevDepthm,GP15featuredescription,VolumeQMAL,VolumeSuporL,VolumeFinalL,PumpError,overallpumpnotes,Qpprocessingnotes,Qprocessingnotes,Spprocessingnotes,Sprocessingnotes,Sr_SPT_pM,Y_SPT_pM,Mo_SPT_pM,Rh103LR_pM,Ag_SPT_pM,Cd_SPT_pM,In115LR_pM,Ba_SPT_pM,La_SPT_pM,Ce_SPT_pM,Pr_SPT_pM,Nd143_SPT_pM,Nd146_SPT_pM,Sm147_SPT_pM,Sm149_SPT_pM,Eu151_SPT_pM,Eu153_SPT_pM,Gd157_SPT_pM,Tb_SPT_pM,Gd160_SPT_pM,Dy_SPT_pM,Dy_SPT_pM1,Ho_SPT_pM,Er166_SPT_pM,Er167_SPT_pM,Tm_SPT_pM,Yb172_SPT_pM,Yb174_SPT_pM,Lu_SPT_pM,Pb_SPT_pM,Th_SPT_pM,U_SPT_pM,Al_SPT_pM,P_SPT_pM,Sc_SPT_pM,Ti_SPT_pM,V_SPT_pM,Cr_SPT_pM,Mn_SPT_pM,Fe_SPT_pM,Co_SPT_pM,Ni_SPT_pM,Cu_SPT_pM,Zn_SPT_pM,POC_SPT_uM,PN_SPT_uM,POC_LPT_uM,PN_LPT_uM,PIC_SPT_nM,PIC_LPT_nM,bSi_SPT_nM,bSi_LPT_nM,POC_13_12_SPT_permill,N_15_14_SPT_permil,POC_13_12_LPT_permil,N_15_14_LPT_permil,Sr_LPT_pM,Y_LPT_pM,Mo_LPT_pM,Rh103LR_pM1,Ag_LPT_pM,Cd_LPT_pM,In115LR_pM1,Ba_LPT_pM,La_LPT_pM,Ce_LPT_pM,Pr_LPT_pM,Nd143_LPT_pM,Nd146_LPT_pM,Sm147_LPT_pM,Sm149_LPT_pM,Eu151_LPT_pM,Eu153_LPT_pM,Gd157_LPT_pM,Tb_LPT_pM,Gd160_LPT_pM,Dy_LPT_pM,Dy_LPT_pM1,Ho_LPT_pM,Er166_LPT_pM,Er167_LPT_pM,Tm_LPT_pM,Yb172_LPT_pM,Yb174_LPT_pM,Lu_LPT_pM,Pb_LPT_pM,Th_LPT_pM,U_LPT_pM,Al_LPT_pM,P_LPT_pM,Sc_LPT_pM,Ti_LPT_pM,V_LPT_pM,Cr_LPT_pM,Mn_LPT_pM,Fe56_LPT_pM,Fe57_LPT_pM,Co_LPT_pM,Ni_LPT_pM,Cu_LPT_pM,Zn_LPT_pM,VarName127,Mnxs_BCCAl_SPT_nM,Mnxs_BCCAl_LPT_nM,Al_SPT_pM_noneg,Al_LPT_pM_noneg,POM_SPT_ugL,POM_LPT_ugL,CaCO3_SPT_ugL,CaCO3_LPT_ugL,opal_SPT_ugL,opal_LPT_ugL,litho_SPT_ugL,litho_LPT_ugL,FeOH3_SPT_ugL,FeOH3_LPT_ugL,MnO2_SPT_ugL,MnO2_LPT_ugL,SPM_SPT_ugL,SPM_LPT_ugL,fPOM_SPT,fCaCO3_SPT,fopal_SPT,flitho_SPT,fFeOH3_SPT,fMnO2_SPT,fPOM_LPT,fCaCO3_LPT,fopal_LPT,flitho_LPT,fFeOH3_LPT,fMnO2_LPT,CP_SPT_molmol,CP_LPT_molmol,NP_SPT_molmol,NP_LPT_molmol,CN_SPT_molmol,CN_LPT_molmol,CdP_SPT_mmolmol,CdP_LPT_mmolmol,ZnP_SPT_mmolmol,ZnP_LPT_mmolmol
12368,5,S,1,1,4,6521,53.67708333,-153.7968333,4616,9/24/18 15:40,9/24/18 15:40,800,802.9,0.936739102,0,623.1,223.7,869.8,,,,,,,-131.6169799,0.355471361,-0.188041744,7567.673666,0.247563821,0.706643792,0.015005011,230.8847812,0.123647324,0.210900528,0.031375534,0.143712505,0.132661981,0.030347265,0.02704834,0.026061581,0.037641297,0.037809458,0.004769579,0.031472694,0.029439536,0.029349793,0.006498366,0.020141416,0.01873188,0.003068647,0.019110369,0.020141015,0.003237562,0.332967349,0.007535342,0.034688297,1279.228588,1059.792123,0.179133887,81.08516409,4.262071461,-10.59147507,63.20824138,457.9133459,0.77614185,9.514297,23.3233735,21.62422663,0.128535754,0.011754867,0.030569638,0.002138213,17.65868464,4.319756398,30.2663595,23.85200956,-28.46365443,4.504154887,-25.85419006,6.377218831,30.89618818,0.088062721,0.063291354,490.3655574,0.032450514,0.047424913,8.92E-06,45.61712228,0.029881402,0.042843342,0.00707694,0.031883343,0.031533845,0.006699898,0.006051969,0.002881649,0.00384958,0.004354441,0.001163328,0.007476788,0.007113522,0.006883104,0.001394135,0.005027571,0.004373233,0.000744239,0.004599735,0.00476043,0.000778146,0.092223818,0.001298421,0.026663242,494.8240868,168.5069989,0.075601372,21.92386306,1.095568293,0.752716419,19.35206515,121.3494541,120.5687375,0.284608184,2.076702367,2.599801407,4.23047794,,52.73519693,15.30094035,1279.228588,494.8240868,2.899766606,0.689651036,1.767281159,0.43232122,2.033899358,1.602855043,0.410691699,0.158861479,0,0,0.004582689,0.001329652,7.116221511,2.88501843,0.407486839,0.24834544,0.285811699,0.057712045,0,0.000643978,0.239045626,0.149850419,0.555578788,0.055064286,0,0.000460882,121.2839302,181.4146495,11.09167235,12.68916218,10.93468382,14.29681857,0.666775848,0.281441802,20.40421529,25.10565121
12367,5,S,2,1,4,6521,53.67708333,-153.7968333,4616,9/24/18 15:40,9/24/18 15:40,450,452.5,0.936739102,0,615.5,243.3,869.1,,,,,,,450.9444952,0.442287291,0.746076561,7625.545412,0.187219738,1.262728641,0.013796547,186.1016694,0.14415236,0.143053387,0.033746034,0.171339363,0.146709012,0.036166949,0.03343328,0.023438415,0.030957974,0.042201708,0.00587206,0.039811449,0.036816188,0.036704691,0.008637296,0.027099899,0.025502722,0.00391775,0.027346798,0.025413783,0.004629655,0.28566766,0.005553099,0.115230651,958.3981867,1618.848913,0.16941056,48.17178593,6.981254976,15.74596492,35.75461595,354.1911037,0.459672401,8.367122502,18.31692772,26.60371495,0.072807009,0.009695241,0.025657824,0.002269368,14.8021238,5.964093373,39.80721532,37.23061068,-28.66792221,4.661326972,-25.85684451,7.749739453,26.14882468,0.035149617,0.138313214,600.1020132,0.029454482,0.084624427,9.03E-06,17.39528148,0.011273254,0.007493907,0.002708521,0.012097537,0.010446838,0.002798234,0.002344485,0.000301486,0.000462446,0.000315592,0.000353536,0.002070236,0.002499088,0.00238214,0.00043731,0.001734376,0.001698203,0.000248268,0.002012212,0.001797169,0.000265898,0.051406459,0.000159517,0.028435501,72.35189771,242.1624042,0.016205747,6.398278968,1.543859257,-0.525408891,6.323385277,327.5338899,339.8780547,0.096078113,1.714171885,1.501710269,4.646908749,,27.90821,5.73104029,958.3981867,72.35189771,1.642526127,0.578840508,1.48139655,0.596886465,2.675044869,2.501897037,0.307690262,0.023228314,0,0.031867012,0.002425223,0.000498027,6.109083032,3.733217364,0.268866231,0.242490819,0.437879933,0.05036603,0,0.000396986,0.155051381,0.15988527,0.67017181,0.006222063,0.008536072,0.000133404,44.97455482,105.9529617,5.988972069,9.371266241,7.509561624,11.30615212,0.780016363,0.349453201,16.43372321,19.18922454
12366,5,S,3,1,4,6521,53.67708333,-153.7968333,4616,9/24/18 15:40,9/24/18 15:40,300,303.3,0.936739102,O2 min ~10 umol/kg,1043.5,477.4,1519.2,,,3/16 eNd/proteins dropped on floor. Use upsampled 2/16 only,,,,405.7560374,0.372569518,0.744077956,4484.000652,0.273766883,4.634196594,0.00703104,321.4456023,0.114404694,0.069735524,0.0234375,0.117975215,0.103203484,0.024198373,0.023273407,0.029570895,0.044716064,0.028391129,0.004146462,0.027102587,0.026535693,0.026585252,0.006153922,0.02008835,0.019882877,0.00308267,0.021791896,0.022128414,0.003802815,0.319053562,0.002551362,0.230224413,395.6275017,3347.69223,0.083993365,30.39691864,5.691760603,6.602624076,40.53972151,123.5132368,0.519189175,12.49911279,25.53392539,40.20411689,0.22460355,0.031666791,0.127294737,0.01623159,23.89641016,15.03608886,81.04668642,42.82373644,-26.15975057,6.283375339,-24.39128656,6.007408795,45.92943943,0.118927687,0.148247038,642.7307588,0.512323094,0.6076219,5.32E-06,21.51670596,0.032598222,0.013548467,0.007284063,0.033518359,0.03185524,0.006852752,0.007204656,0.002023271,0.002571121,0.006205989,0.001212715,0.008035792,0.007683131,0.007936597,0.001849455,0.006142468,0.006033242,0.000941943,0.006637675,0.006520535,0.001087522,0.101873633,0.000404008,0.073424894,74.34570839,1786.504839,0.021961055,8.850969629,35.10473867,-0.400896018,8.623345822,102.8035026,100.8168631,0.139220569,4.344069617,2.208385378,15.11721737,,37.30071915,8.014677507,395.6275017,74.34570839,5.067056093,2.871769266,2.391552729,1.504811774,5.446337327,2.877755089,0.127014775,0.02386842,0,0.007756629,0.003241432,0.000696475,13.03520236,7.286657652,0.388720938,0.183468784,0.417817628,0.009743982,0,0.000248668,0.394113379,0.206516052,0.394934856,0.003275634,0.001064497,9.56E-05,67.09205471,71.25350806,9.45928992,9.085668103,7.092715761,7.842407102,1.38429589,0.340117691,12.00950211,8.46189556
12365,5,S,4,1,4,6521,53.67708333,-153.7968333,4616,9/24/18 15:40,9/24/18 15:40,140,142.6,0.936739102,base of halocline,50.5,17.8,62.9, ,,,,,,0,0.494298189,0.254010414,89289.07274,0.514158804,12.10608272,0.188573953,389.9252943,0.144521955,0.113539167,0.026755331,0.367426107,0.126413023,0.030293504,0.030112383,0.065751306,0.089608229,0.0983428,0.005013309,0.023604813,0.045035427,0.036052613,0.009433873,0.023647568,0.022251171,0.002254871,0.027214413,0.018609559,0.00613604,2.009653514,0.007341602,-0.292596646,727.1686814,6144.100297,0.078887203,98.70757267,10.17919917,116.5097584,90.38962974,1174.393319,1.127099762,36.48649403,63.5124541,358.9479141,-0.009012156,-0.005286456,0.184366215,0.010824544,33.36579802,16.95217141,34.08549698,11.11975892,-32.57398018,3.699373062,-26.02532799,4.950287519,110.8946254,0.069355584,-0.181629865,4840.916609,0.072229195,0.121885391,0.000110001,22.90001915,0.02910243,0.010366509,0.01834869,0.023000776,0.01711922,0.002366988,0.005500234,-0.008291969,-0.014214201,-0.026906916,-0.000136788,-0.003407684,0.002491794,0.002886838,0.000939785,0.003810669,0.002484643,0.000339218,0.002168132,0.00277395,7.09E-05,0.063358028,6.09E-05,0.026417068,-121.0533558,569.452013,-0.025232702,103.3260793,0.199522516,-15.41813663,4.743321867,40.87963935,37.40926242,0.181976366,-0.179282969,1.964003146,42.82828618,,84.43629974,5.734385691,727.1686814,0,0,4.159301818,3.339249066,1.696573314,2.290545397,0.7472478,0.233454868,0,0.09392032,0.004370033,0.007337514,0.000412195,5.964507165,6.60790516,0,0.559853308,0.384029281,0.03914068,0.015746535,0.001230196,0.629443328,0.256749041,0.113083917,0,0.000661334,6.24E-05,-1.466798358,323.7607579,-0.86041181,19.00870297,1.704763162,17.03223825,1.970358903,0.214039793,58.42155837,75.20964928
12364,5,S,5,1,4,6521,53.67708333,-153.7968333,4616,9/24/18 15:40,9/24/18 15:40,90,92.7,0.936739102,top of oxycline and halocline,1101.1,451.1,1562.1,,,,QMA: head still had a lot of water just under prefilters; some water leaked out the sides active area not as well defined,,,403.8274423,0.206297991,0.923347546,4882.135832,0.259015021,12.67088422,0.007441018,280.0712728,0.112888128,0.059542899,0.013777111,0.070121624,0.062910618,0.014312148,0.014156081,0.024573797,0.038117373,0.018751062,0.002438982,0.017557099,0.016153226,0.016151506,0.003928463,0.01151582,0.012324174,0.00166848,0.010410765,0.010825695,0.001792421,0.827155718,0.001047064,0.118354947,25.27852403,5660.356022,0.012388413,6.20753383,3.53818727,4.380259033,146.4668302,28.68429545,1.15438952,10.75859257,21.34629415,41.54213139,0.4442372,0.072761338,0.072737593,0.007195266,16.8559644,11.18458261,34.43425324,13.4105123,-25.91991856,5.158228664,-25.46010848,4.050873206,74.93815571,0.03292559,0.046703138,578.3971781,0.036120378,0.136534003,5.05E-06,11.46168094,0.005733735,0.002510819,0.000922118,0.004635115,0.004171716,0.000897042,0.000821784,0.000213992,0.000508433,-3.70E-05,0.000158687,0.000981666,0.001190689,0.001170107,0.000249482,0.000935366,0.000900485,0.000134286,0.000883603,0.000799193,0.000139629,0.052737231,7.54E-05,0.018069777,11.06287304,352.8695885,0.000449391,9.931121501,0.179920982,-1.608117262,6.650484652,2.359985218,2.367329524,0.076919922,1.627736274,1.015229243,12.4413327,,146.2598749,6.559912911,25.27852403,11.06287304,10.02199124,1.640960107,1.686944917,1.119353028,2.313981818,0.901186426,0.008115578,0.003551695,0.001967066,0,0.012709983,0.000570056,14.0457106,3.665621313,0.713526821,0.120103921,0.164746511,0.000577798,0.000140047,0.000904901,0.447662202,0.305365157,0.245848207,0.00096892,0,0.000155514,78.48220122,206.1316581,12.85455155,20.39072418,6.105401725,10.10908962,2.238531318,0.386924824,7.339137545,35.25759403
12363,5,S,6,1,4,6521,53.67708333,-153.7968333,4616,9/24/18 15:40,9/24/18 15:40,70,73,0.936739102,0,960.3,453.3,1439.8,,,"1/8 dropped on floor, so use 1/8 upsampled for proteins","fill half of 5 ml vial, squirt RNA later, fill 2nd half vial, squirt RNA later. Dont include nonactive rim",,,448.6531118,0.695947595,1.172964179,4878.730987,0.354000795,15.03760059,0.007404874,300.8971704,0.125896412,0.051641985,0.01582552,0.075807608,0.071700819,0.016065489,0.016114624,0.025895021,0.040439706,0.022764725,0.003519614,0.022284952,0.023106418,0.023183311,0.005864564,0.018317576,0.01948121,0.002926206,0.019412667,0.01940136,0.003542649,0.721915721,0.001869884,0.15226593,20.7873126,8946.095632,0.015599806,6.875297223,4.178691688,4.974188079,116.6192525,25.23200752,1.172045252,15.9243283,27.27116343,60.07843031,0.816738127,0.137311804,0.090305606,0.009231171,30.27400937,10.55358031,44.41904015,19.56986561,-26.9178305,4.458277793,-25.71671274,3.616973546,128.3539519,0.226921631,0.054030291,537.8862083,0.009893787,0.320652631,5.78E-06,30.64277406,0.024566981,0.010669099,0.004481452,0.020806686,0.019720653,0.003925577,0.004020987,0.002043425,0.003023899,0.003738088,0.000817317,0.00499646,0.0054973,0.005537551,0.001461332,0.004562634,0.004649717,0.000720449,0.004819352,0.004758327,0.000887463,0.062295566,0.000225295,0.024515731,19.88571168,808.346067,0.005895181,21.70750359,0.602156558,0.63890741,8.614953371,22.12018205,21.00148244,0.099058176,2.506519598,1.572714945,4.36082443,,116.4490668,8.45214905,20.7873126,19.88571168,18.42561215,2.037294462,3.029822858,1.056202318,2.984959498,1.315094969,0.006673691,0.006384236,0.001793325,0.001499879,0.010119424,0.000734492,24.45898095,4.417210355,0.753327058,0.123873634,0.122039406,0.000272852,7.33E-05,0.00041373,0.461217442,0.239110713,0.297720702,0.001445309,0.000339553,0.00016628,91.29548365,111.7165151,15.34879682,11.41982564,5.948054737,9.782681332,1.680912122,0.396677419,6.715603408,5.394749363
12362,5,S,7,1,4,6521,53.67708333,-153.7968333,4616,9/24/18 15:40,9/24/18 15:40,40,43,0.936739102,base of ML,455.3,247.3,722.5,sudden pressure release,,,"QMA samples well colored, olive colored. Bottom filter has some color; rest proteins- small piece missed (fell on floor); forgot to take photo of QMA",,,1002.091073,1.315828552,11.07846628,10450.23715,0.566909367,21.37793458,0.013573211,128.4611118,0.637396402,0.145211218,0.08271245,0.374930222,0.35429625,0.070575449,0.066680308,0.026086459,0.031642363,0.087899114,0.012958562,0.090281174,0.082499964,0.083008249,0.020761703,0.063813333,0.063488549,0.009098702,0.057483669,0.058545944,0.009667202,0.738097307,0.002080345,0.49117089,15.69247634,28337.56179,0.014093123,74.05055944,17.02127431,24.16713555,58.18196215,46.03950589,2.53111833,46.86731877,48.53372549,73.13881165,2.642358358,0.430486431,0.254234357,0.032505542,198.0577202,41.19012175,65.52525722,22.74588176,-25.01031689,-0.321075483,-25.27252161,1.402505542,134.7812761,0.105295403,0.073161785,937.6475043,0.01497257,0.487488021,1.22E-05,10.5875709,0.02718778,0.008367291,0.004658232,0.022161977,0.02022498,0.003416406,0.003640572,0.000667496,0.000418581,0.001391312,0.000700208,0.00454648,0.005556971,0.005248823,0.00133598,0.003938449,0.00382643,0.000592535,0.00449933,0.004100907,0.000760101,0.044633596,5.31E-06,0.034595898,-5.283136771,1162.510548,-0.001591891,4.636818018,0.458721482,-2.849278343,2.970685732,0.529699484,0.583092683,0.09332094,3.971768971,2.585001566,5.082238111,,58.05348785,3.013938773,15.69247634,0,59.61160457,5.735527105,19.82161664,4.122307385,4.403297285,1.528523254,0.005038013,0,0.004239206,5.66E-05,0.005044848,0.000258153,83.85084055,11.38667252,0.710924353,0.236391389,0.052513454,6.01E-05,5.06E-05,6.02E-05,0.503705283,0.362029151,0.134237922,0,4.97E-06,2.27E-05,93.2457908,218.6942372,15.19137159,27.96150322,6.13807583,7.821261806,0.754402751,0.419340729,2.580984638,4.371778063
12361,5,S,8,1,4,6521,53.67708333,-153.7968333,4616,9/24/18 15:40,9/24/18 15:40,25,28,0.936739102,ML,308.3,171.5,419,min flow reached,,,,,,871.5347687,0.7077774,6.636616608,14041.42563,0.934314121,34.8057978,0.019572215,12.67864346,0.260954944,0.052867633,0.028974942,0.176352607,0.130783658,0.024993009,0.02895922,0.007893904,0.009417409,0.040576749,0.006050004,0.038322064,0.04308629,0.043795389,0.012011703,0.037860784,0.037952462,0.005736044,0.035031571,0.034502202,0.005592999,1.01904811,0.000196922,0.99295644,7.21998672,47914.75327,0.012071674,14.64156604,7.226190501,1.099276737,62.79267904,29.61305751,3.925025754,53.52878877,52.9102603,90.5761388,4.644590032,0.682895658,0.355920064,0.041517476,152.1239728,37.75474654,41.2674941,25.19511556,-24.49858196,1.803806602,-25.14199158,2.819847899,110.0732984,0.124421636,0.182322632,1578.388999,0.021300321,1.0714439,1.80E-05,3.899989855,0.032123694,0.011360614,0.00565559,0.026117875,0.02330989,0.004164264,0.004165553,0.00037174,-0.000418186,0.0047977,0.000900421,0.007661684,0.006970389,0.006674783,0.00172555,0.005668204,0.006138807,0.000816021,0.006405122,0.006308581,0.001054472,0.145548939,-6.95E-05,0.068119119,1286.849436,2988.658367,0.000538484,11.85068381,1.052418516,0.738622145,9.999329553,127.8679414,126.4117545,0.186641515,5.437822666,24.27790163,23.01603659,,62.733569,-0.536106778,7.21998672,1286.849436,104.7819511,8.029556635,15.22456719,3.778495034,2.773175603,1.693111766,0.002317951,0.413138344,0.002851661,0,0.005451547,0,122.7903151,13.91430178,0.853340518,0.123988339,0.022584644,1.89E-05,2.32E-05,4.44E-05,0.577072192,0.271554771,0.121681403,0.029691633,0,0,96.93444534,119.0902472,14.25230459,13.8916769,6.80131727,8.572776922,0.726410874,0.358503304,1.890360121,7.701126649
12414,5,D,1,1,8,6527,53.68003333,-153.8003667,4611,9/25/18 10:00,9/25/18 10:00,4575,4594.7,0.237634114,BNL; bottom-40m,1004.3,414.9,1488.8,,,Lid came off the petri slide during storage; filter touched the plastic holder (unleached) and possibly contaminated,,,,428.8942165,3.074682263,0.769447495,4356.414365,0.220125183,0.191508733,0.008090223,931.8862441,2.447009987,5.44581776,0.679440293,2.742579046,2.714094055,0.561201995,0.554831554,0.178884885,0.205559499,0.516588966,0.076354216,0.51038597,0.409533308,0.403543023,0.077238044,0.216206291,0.210288172,0.029104533,0.175055286,0.177335793,0.025124414,2.353777693,0.201318922,0.210838234,38554.4732,1832.441463,5.637001973,2575.954753,101.3315217,39.16194119,1027.294169,15243.19599,12.07563232,27.58968894,71.78134724,112.3280871,0.103785882,0.009245749,0.026103742,0.002677348,5.737259385,1.960248181,83.71920212,35.07614711,-28.68947348,7.923067302,-25.05932327,5.581081511,30.22577445,1.324376243,0.128748043,563.9382696,0.013104296,0.016940461,5.53E-06,125.2978466,0.871510569,1.983679177,0.249684246,0.998661218,0.998222143,0.213662865,0.206390843,0.049874775,0.050915323,0.195637024,0.030020187,0.188670824,0.162604636,0.156250883,0.030608168,0.083747216,0.083128198,0.011434947,0.067432441,0.065924877,0.009186221,0.633415382,0.081252481,0.051894095,15939.7948,291.3530513,2.090572751,705.2342049,29.83222501,19.57678637,314.9417447,6868.692581,6806.250132,3.728805274,7.230015183,15.11048863,19.09806473,,711.6486971,184.4426447,38554.4732,15939.7948,2.341409493,0.588900411,0.574184919,0.196181638,5.625930382,2.357117085,12.3777738,5.117413313,0,0.041090656,0.061842272,0.016028066,20.98114087,8.316731168,0.111595909,0.027366716,0.268142253,0.589947605,0,0.002947517,0.070809119,0.023588792,0.283418694,0.615315466,0.004940722,0.001927207,56.63803396,89.59487978,5.045590317,9.189360487,11.22525421,9.749849285,0.10451015,0.058144099,61.29968646,65.54956142
12413,5,D,2,1,8,6527,53.68003333,-153.8003667,4611,9/25/18 10:00,9/25/18 10:00,4500,4518.6,0.237634114,BNL; bottom-115m,1085.4,443.6,1544.1,,,3/16 Qp wedge dropped to the ground; eNd used 2/16 archive Qp,,,,161.2408174,2.582993167,0.173556946,4699.147272,0.089251469,0.213795535,0.007566834,530.8156322,1.533585833,3.201866517,0.421248744,1.697297408,1.692840655,0.366702003,0.365376933,0.111781639,0.126744346,0.351599653,0.054651871,0.356316149,0.307835734,0.302509509,0.060310738,0.168477606,0.163681052,0.023407444,0.145329048,0.145674312,0.021155063,1.385263435,0.165822905,0.088460856,33339.93391,1061.709296,4.537841487,1220.486387,51.23778746,23.96884737,592.2480373,11606.11189,6.34619648,14.26295064,50.7123553,101.972756,0.077846497,0.005394066,0.011595967,0.001172154,5.445094527,1.15316032,40.70094532,15.85501269,-30.52375169,5.79174544,-25.83752699,5.410661836,6.662456249,0.343008074,0.055874317,292.4458113,0.004515684,0.006397782,5.12E-06,40.51258005,0.144302735,0.288489069,0.040644367,0.160446742,0.159186046,0.034111802,0.033058276,0.008653031,0.009584083,0.031824431,0.00509134,0.032823491,0.029499971,0.028790008,0.005789065,0.016378344,0.016160107,0.00230227,0.014510951,0.014894208,0.002218476,0.187667091,0.020752837,0.01266943,4603.693861,96.80277811,0.631210004,124.5074366,6.508285016,2.567460662,111.9007017,1021.685678,1011.73526,0.945223497,2.16159891,5.668891707,5.127108822,,319.2939984,74.21026008,33339.93391,4603.693861,1.756216972,0.261605016,0.54494506,0.115408285,2.735103525,1.065456853,10.70366487,1.477999218,0,0,0.027746648,0.006448872,15.76767708,2.926918244,0.111380831,0.034560897,0.17346268,0.678835875,0,0.001759717,0.089378997,0.039429965,0.364020025,0.504967715,0,0.002203297,73.32185684,119.7896099,5.080548546,12.10868601,14.43187801,9.892866148,0.201369184,0.066090888,96.04583515,52.96448017
